material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000001
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000002
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000003
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000004
80799645,C816,C563,2025-10-06,4,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000005
80799645,C816,C563,2025-10-06,5,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000006
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000007
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000008
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000009
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000010
80799645,C816,C563,2025-10-06,6,net demand for forecast,80799645|C816|C563|2025-10-06|net demand for forecast|000011
80799645,C816,C563,2025-10-06,52,net demand for safety,80799645|C816|C563|2025-10-06|net demand for safety|000012
80799645,C816,D767,2025-10-06,101,net demand for safety,80799645|C816|D767|2025-10-06|net demand for safety|000013
80784368,C816,D767,2025-10-06,3,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000014
80784368,C816,D767,2025-10-06,15,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000015
80784368,C816,D767,2025-10-06,15,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000016
80784368,C816,D767,2025-10-06,15,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000017
80784368,C816,D767,2025-10-06,12,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000018
80784368,C816,D767,2025-10-06,14,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000019
80784368,C816,D767,2025-10-06,20,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000020
80784368,C816,D767,2025-10-06,19,net demand for forecast,80784368|C816|D767|2025-10-06|net demand for forecast|000021
80784368,C816,D767,2025-10-06,67,net demand for safety,80784368|C816|D767|2025-10-06|net demand for safety|000022
80799647,C816,C563,2025-10-06,2,net demand for AO,80799647|C816|C563|2025-10-06|net demand for AO|000023
80784369,C816,E295,2025-10-06,28,net demand for normal,80784369|C816|E295|2025-10-06|net demand for normal|000024
80784369,C816,E295,2025-10-06,4,net demand for AO,80784369|C816|E295|2025-10-06|net demand for AO|000025
80784369,C816,C563,2025-10-06,19,net demand for normal,80784369|C816|C563|2025-10-06|net demand for normal|000026
80784369,C816,C563,2025-10-06,1,net demand for AO,80784369|C816|C563|2025-10-06|net demand for AO|000027
80784369,C816,D767,2025-10-06,355,net demand for normal,80784369|C816|D767|2025-10-06|net demand for normal|000028
80784369,C816,D767,2025-10-06,21,net demand for AO,80784369|C816|D767|2025-10-06|net demand for AO|000029
80784369,C816,E467,2025-10-06,2,net demand for normal,80784369|C816|E467|2025-10-06|net demand for normal|000030
80784369,C816,E467,2025-10-06,1,net demand for AO,80784369|C816|E467|2025-10-06|net demand for AO|000031
