date,material,location,ending_inventory,in_transit,production_gr,delivery_gr,order,shipment,delivery_ship,supply_demand,safety_stock
2025-10-06,80784365,A668,0,0,0,0,408,0,0,0,2371
2025-10-06,80784365,A680,0,0,0,0,0,0,0,0,0
2025-10-06,80784365,A888,0,0,0,0,409,0,0,0,1350
2025-10-06,80784365,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80784365,C816,0,0,0,0,211,0,0,0,1238
2025-10-06,80784365,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80784365,D191,0,0,0,0,0,0,0,0,0
2025-10-06,80784365,D767,0,0,0,0,5,0,0,0,80
2025-10-06,80784365,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80784365,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80784366,A668,703,0,0,0,811,811,0,0,2262
2025-10-06,80784366,A680,1288,0,0,0,0,0,0,0,0
2025-10-06,80784366,A888,0,0,0,0,360,0,0,0,1273
2025-10-06,80784366,C563,196,0,0,0,0,0,0,0,0
2025-10-06,80784366,C816,2394,0,0,0,112,112,0,0,679
2025-10-06,80784366,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80784366,D191,882,0,0,0,0,0,0,0,0
2025-10-06,80784366,D767,416,0,0,0,12,12,0,0,57
2025-10-06,80784366,E295,320,0,0,0,0,0,0,0,0
2025-10-06,80784366,E467,110,0,0,0,0,0,0,0,0
2025-10-06,8078436601,A668,1087,0,0,0,427,427,0,0,2262
2025-10-06,8078436601,A680,1288,0,0,0,0,0,0,0,0
2025-10-06,8078436601,A888,0,0,0,0,360,0,0,0,1273
2025-10-06,8078436601,C563,196,0,0,0,0,0,0,0,0
2025-10-06,8078436601,C816,2260,0,0,0,246,246,0,0,679
2025-10-06,8078436601,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8078436601,D191,882,0,0,0,0,0,0,0,0
2025-10-06,8078436601,D767,412,0,0,0,16,16,0,0,57
2025-10-06,8078436601,E295,320,0,0,0,0,0,0,0,0
2025-10-06,8078436601,E467,110,0,0,0,0,0,0,0,0
2025-10-06,80784368,A668,5243,0,0,0,533,533,0,0,3329
2025-10-06,80784368,A680,2529,0,0,0,0,0,0,0,0
2025-10-06,80784368,A888,0,0,0,0,584,0,0,0,1690
2025-10-06,80784368,C563,236,0,0,0,9,9,0,0,57
2025-10-06,80784368,C816,12267,0,0,0,0,0,0,0,1376
2025-10-06,80784368,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80784368,D191,2,0,0,0,0,0,0,0,70
2025-10-06,80784368,D767,17,0,0,0,29,29,0,0,67
2025-10-06,80784368,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80784368,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80784369,A668,1847,0,0,0,235,235,0,0,724
2025-10-06,80784369,A680,298,0,0,0,0,0,0,0,0
2025-10-06,80784369,A888,0,0,0,0,269,0,0,0,961
2025-10-06,80784369,C563,0,0,0,0,19,0,0,0,75
2025-10-06,80784369,C816,1607,0,0,0,203,203,0,0,599
2025-10-06,80784369,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80784369,D191,0,0,0,0,132,0,0,0,225
2025-10-06,80784369,D767,0,0,0,0,355,0,0,0,486
2025-10-06,80784369,E295,0,0,0,0,28,0,0,0,184
2025-10-06,80784369,E467,0,0,0,0,2,0,0,0,43
2025-10-06,8078436901,A668,2054,0,0,0,28,28,0,0,724
2025-10-06,8078436901,A680,298,0,0,0,0,0,0,0,0
2025-10-06,8078436901,A888,0,0,0,0,269,0,0,0,961
2025-10-06,8078436901,C563,0,0,0,0,5,0,0,0,75
2025-10-06,8078436901,C816,1810,0,0,0,0,0,0,0,599
2025-10-06,8078436901,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8078436901,D191,0,0,0,0,19,0,0,0,225
2025-10-06,8078436901,D767,0,0,0,0,30,0,0,0,486
2025-10-06,8078436901,E295,0,0,0,0,73,0,0,0,184
